respondent_id,age,gender,financial_literacy,need_for_cognition,tech_disposition,condition,scenario_id,presentation_position,loan_amount,applicant_credit_score,ai_recommendation,ai_confidence,ai_correct,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,participant_decision,trust_composite,agree_with_ai,response_time_sec,response_timestamp,attention_check_passed,calibration_label
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,7,1,9000,680,approve,77,True,5,5,4,4,4,5,3,4,5,3,5,4,deny,4.25,False,14.9,2026-02-11T19:37:45,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,1,2,8000,610,deny,82,True,3,4,5,5,4,3,4,4,3,4,3,,deny,3.82,True,22.7,2026-02-11T19:38:10,True,under-trust
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,2,3,15000,705,approve,91,True,5,5,5,4,6,5,4,5,5,5,6,5,approve,5,True,20.8,2026-02-11T19:38:31,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,5,4,30000,720,approve,88,True,5,6,6,7,6,,6,5,6,5,7,7,approve,6,True,19.8,2026-02-11T19:38:53,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,9,5,7000,730,approve,94,True,5,6,5,7,7,5,7,6,7,6,6,7,approve,6.17,True,12.5,2026-02-11T19:39:06,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,3,6,22000,640,approve,58,True,3,3,5,4,3,3,4,2,3,4,3,4,deny,3.42,False,13.3,2026-02-11T19:39:21,True,under-trust
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,10,7,25000,620,deny,69,True,4,5,,5,4,5,5,5,4,6,5,5,approve,4.82,False,12.7,2026-02-11T19:39:36,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,4,8,5000,590,deny,74,True,5,5,4,5,4,5,5,5,5,4,5,5,approve,4.75,False,11.8,2026-02-11T19:39:49,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,6,9,12000,655,deny,63,False,4,3,3,3,3,4,3,5,4,3,4,2,approve,3.42,False,17.2,2026-02-11T19:40:07,True,calibrated
P511e7ea419,49,nonbinary,3,6.2,2.66,counterfactual,8,10,18000,600,approve,55,False,3,2,1,2,2,3,3,1,3,3,3,2,deny,2.33,False,16.6,2026-02-11T19:40:25,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,1,1,8000,610,deny,82,True,4,4,4,4,4,3,4,4,5,5,5,4,deny,4.17,True,10.0,2026-01-13T20:40:27,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,10,2,25000,620,deny,69,True,4,6,5,5,6,6,5,4,6,4,4,5,deny,5,True,3.9,2026-01-13T20:40:32,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,8,3,18000,600,approve,55,False,4,3,3,4,4,4,4,4,4,4,4,4,deny,3.83,False,18.7,2026-01-13T20:40:51,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,2,4,15000,705,approve,91,True,6,6,7,6,6,6,6,7,5,7,6,5,approve,6.08,True,10.7,2026-01-13T20:41:03,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,9,5,7000,730,approve,94,True,5,6,6,6,7,5,6,6,5,6,5,6,approve,5.75,True,12.6,2026-01-13T20:41:18,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,3,6,22000,640,approve,58,True,6,6,4,6,5,6,5,4,5,6,6,7,approve,5.5,True,11.9,2026-01-13T20:41:30,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,5,7,30000,720,approve,88,True,5,5,5,4,5,4,5,4,5,5,5,5,approve,4.75,True,9.2,2026-01-13T20:41:40,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,4,8,5000,590,deny,74,True,3,4,3,5,2,5,4,4,4,4,2,5,approve,3.75,False,8.8,2026-01-13T20:41:50,True,under-trust
Pd616e5fc44,32,male,2,1.82,3.48,none,6,9,12000,655,deny,63,False,3,3,4,3,3,2,2,2,2,3,1,3,approve,2.58,False,11.0,2026-01-13T20:42:04,True,calibrated
Pd616e5fc44,32,male,2,1.82,3.48,none,7,10,9000,680,approve,77,True,5,5,4,4,4,3,5,4,6,5,5,5,approve,4.58,True,5.3,2026-01-13T20:42:11,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,9,1,7000,730,approve,94,True,5,7,6,6,6,7,6,7,7,7,6,7,approve,6.42,True,16.0,2026-01-29T13:13:36,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,5,2,30000,720,approve,88,True,5,6,6,6,5,6,7,4,6,7,7,7,deny,6,False,6.0,2026-01-29T13:13:44,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,6,3,12000,655,deny,63,False,3,4,3,3,4,3,4,4,3,4,3,3,approve,3.42,False,15.1,2026-01-29T13:14:01,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,8,4,18000,600,approve,55,False,1,3,1,1,1,2,1,3,2,1,2,3,deny,1.75,False,18.1,2026-01-29T13:14:21,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,3,5,22000,640,approve,58,True,5,7,7,6,6,5,6,6,6,7,7,5,approve,6.08,True,16.7,2026-01-29T13:14:39,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,1,6,8000,610,deny,82,True,5,5,5,5,5,6,6,5,6,6,5,5,deny,5.33,True,16.8,2026-01-29T13:14:56,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,7,7,9000,680,approve,77,True,7,6,6,6,6,6,7,5,7,,7,7,approve,6.36,True,14.0,2026-01-29T13:15:12,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,2,8,15000,705,approve,91,True,7,,6,6,5,5,6,6,6,5,4,6,approve,5.64,True,19.9,2026-01-29T13:15:33,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,10,9,25000,620,deny,69,True,4,4,7,4,4,6,4,5,5,4,5,4,approve,4.67,False,11.0,2026-01-29T13:15:46,True,calibrated
P6c170dc4b1,18,female,4,4.8,7,counterfactual,4,10,5000,590,deny,74,True,7,7,6,6,6,6,7,6,7,6,7,7,deny,6.5,True,17.7,2026-01-29T13:16:06,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,9,1,7000,730,approve,94,True,5,5,7,7,5,7,7,7,6,6,6,7,approve,6.25,True,12.7,2026-02-20T09:32:25,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,7,2,9000,680,approve,77,True,6,6,7,6,6,6,7,6,7,7,7,5,approve,6.33,True,9.7,2026-02-20T09:32:36,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,1,3,8000,610,deny,82,True,7,5,6,6,5,6,5,6,6,6,5,5,deny,5.67,True,20.2,2026-02-20T09:32:59,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,5,4,30000,720,approve,88,True,5,6,7,6,7,7,7,7,6,7,6,7,approve,6.5,True,12.9,2026-02-20T09:33:12,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,3,5,22000,640,approve,58,True,5,3,4,4,4,4,4,6,4,3,5,5,deny,4.25,False,10.1,2026-02-20T09:33:23,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,10,6,25000,620,deny,69,True,6,7,6,7,7,,6,6,6,5,6,6,deny,6.18,True,10.0,2026-02-20T09:33:35,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,4,7,5000,590,deny,74,True,,7,7,7,7,7,7,7,7,7,7,7,deny,7,True,16.9,2026-02-20T09:33:52,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,2,8,15000,705,approve,91,True,7,7,7,7,7,7,7,7,7,6,7,7,approve,6.92,True,10.1,2026-02-20T09:34:03,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,6,9,12000,655,deny,63,False,4,4,4,5,4,3,5,3,3,3,4,3,deny,3.75,True,13.0,2026-02-20T09:34:18,True,calibrated
P8f3e7705c8,27,female,4,2.48,5.44,counterfactual,8,10,18000,600,approve,55,False,5,5,5,5,5,4,4,5,5,,6,5,deny,4.91,False,13.0,2026-02-20T09:34:32,True,over-trust
Pb332ec90ed,31,female,4,3.16,5.15,counterfactual,5,1,30000,720,approve,88,True,6,5,6,5,6,5,6,5,6,4,5,6,approve,5.42,True,14.1,2026-02-05T19:37:04,True,calibrated
Pb332ec90ed,31,female,4,3.16,5.15,counterfactual,4,2,5000,590,deny,74,True,6,6,5,4,5,6,6,5,5,6,,6,deny,5.45,True,15.5,2026-02-05T19:37:21,True,calibrated
Pb332ec90ed,31,female,4,3.16,5.15,counterfactual,1,3,8000,610,deny,82,True,5,5,6,5,5,5,5,5,4,6,4,6,deny,5.08,True,14.4,2026-02-05T19:37:36,True,calibrated
